DateTime,Open,High,Low,Close,Volume
2016-07-05T10:00:00.0000000,133.9,133.9,132.33,132.4,9963330
2016-07-05T11:00:00.0000000,132.37,132.97,131.83,131.97,5345080
2016-07-05T12:00:00.0000000,131.97,132.57,131.89,132.35,4435240
2016-07-05T13:00:00.0000000,132.34,132.69,132.07,132.15,3817000
2016-07-05T14:00:00.0000000,132.18,132.19,131.73,132,3672550
2016-07-05T15:00:00.0000000,132.01,132.68,131.88,132.45,3342800
2016-07-05T16:00:00.0000000,132.47,132.5,131.9,132.06,2233360
2016-07-05T17:00:00.0000000,132.05,132.79,131.85,132.2,6466760
2016-07-05T18:00:00.0000000,132.22,132.31,131.9,131.99,4446760
2016-07-06T10:00:00.0000000,131.51,132.04,130.5,130.5,12900760
2016-07-06T11:00:00.0000000,130.5,130.6,129.51,129.65,11253220
2016-07-06T12:00:00.0000000,129.63,129.91,129.45,129.59,4851050
2016-07-06T13:00:00.0000000,129.59,129.61,128.45,128.47,9581520
2016-07-06T14:00:00.0000000,128.48,128.82,128.3,128.75,3923140
2016-07-06T15:00:00.0000000,128.75,129.08,128.25,128.61,6728600
2016-07-06T16:00:00.0000000,128.64,128.76,128.05,128.25,5417180
2016-07-06T17:00:00.0000000,128.25,128.84,127.85,128.24,6274290
2016-07-06T18:00:00.0000000,128.24,129.6,128.24,129.25,8834010
2016-07-07T10:00:00.0000000,130.5,131.19,130.15,130.73,14492570
2016-07-07T11:00:00.0000000,130.73,131.46,130.02,131.41,8890520
2016-07-07T12:00:00.0000000,131.41,131.84,131.11,131.8,5382980
2016-07-07T13:00:00.0000000,131.82,131.84,131.05,131.25,5096880
2016-07-07T14:00:00.0000000,131.25,131.7,131.02,131.65,4439190
2016-07-07T15:00:00.0000000,131.66,133.1,131.63,133.02,12549210
2016-07-07T16:00:00.0000000,133.04,133.5,132.92,133.21,8292070
2016-07-07T17:00:00.0000000,133.21,133.3,132.8,133.1,5919380
2016-07-07T18:00:00.0000000,133.11,133.12,131.7,131.7,11565810
2016-07-08T10:00:00.0000000,130.63,132.39,130.35,131.92,14016020
2016-07-08T11:00:00.0000000,131.91,132.1,131,131.03,6054970
2016-07-08T12:00:00.0000000,131.07,131.44,130.55,131.42,7344140
2016-07-08T13:00:00.0000000,131.42,132.17,131.17,131.95,4393380
2016-07-08T14:00:00.0000000,131.91,133.45,131.89,133.04,8933560
2016-07-08T15:00:00.0000000,133.03,133.79,132.22,133.17,11504520
2016-07-08T16:00:00.0000000,133.16,134.34,132.94,134.14,8281070
2016-07-08T17:00:00.0000000,134.18,134.29,133.13,133.46,9057030
2016-07-08T18:00:00.0000000,133.46,134.49,133.42,134.3,5291660
2016-07-11T10:00:00.0000000,134.8,135.99,134.52,134.61,15589560
2016-07-11T11:00:00.0000000,134.62,137.29,134.53,136.95,13791410
2016-07-11T12:00:00.0000000,136.94,137.77,136.57,137.05,9186490
2016-07-11T13:00:00.0000000,137.03,137.45,136.62,137.09,6436520
2016-07-11T14:00:00.0000000,137.09,137.49,136.95,137.37,2969610
2016-07-11T15:00:00.0000000,137.36,137.47,136.41,136.75,4505220
2016-07-11T16:00:00.0000000,136.74,137.25,136.54,137.01,4412150
2016-07-11T17:00:00.0000000,137.01,137.25,136.71,137.2,5515130
2016-07-11T18:00:00.0000000,137.19,137.35,136.85,137.24,7139780
2016-07-12T10:00:00.0000000,137.55,139.33,136.9,139,17323190
2016-07-12T11:00:00.0000000,139,139.44,138.7,139.32,6112080
2016-07-12T12:00:00.0000000,139.35,139.44,138.8,139.1,4602320
2016-07-12T13:00:00.0000000,139.09,139.1,138.36,138.86,5391050
2016-07-12T14:00:00.0000000,138.84,139.3,138.75,139.3,3622160
2016-07-12T15:00:00.0000000,139.3,140.47,139.3,139.87,9544410
2016-07-12T16:00:00.0000000,139.9,140.33,139.8,139.86,5209140
2016-07-12T17:00:00.0000000,139.86,140.19,139.06,139.96,6233310
2016-07-12T18:00:00.0000000,139.93,140.4,139.75,140.4,5196080
2016-07-13T10:00:00.0000000,140.29,141.35,139.71,140.76,15340150
2016-07-13T11:00:00.0000000,140.74,140.74,138.91,139.23,10409110
2016-07-13T12:00:00.0000000,139.26,139.6,138.58,139.18,10675630
2016-07-13T13:00:00.0000000,139.18,139.19,137.88,138.08,7407630
2016-07-13T14:00:00.0000000,138.06,139.16,137.9,138.92,7068830
2016-07-13T15:00:00.0000000,138.93,140.35,138.6,140.2,6607660
2016-07-13T16:00:00.0000000,140.23,140.24,138.45,138.66,6506220
2016-07-13T17:00:00.0000000,138.64,139.56,137.9,138.71,11986680
2016-07-13T18:00:00.0000000,138.72,139.46,138.53,139.15,9171000
2016-07-14T10:00:00.0000000,140.01,140.17,138.22,138.76,10556980
2016-07-14T11:00:00.0000000,138.75,139.16,137.57,137.92,7610190
2016-07-14T12:00:00.0000000,137.89,139.4,137.77,139.4,4749940
2016-07-14T13:00:00.0000000,139.4,139.99,139.17,139.58,6285820
2016-07-14T14:00:00.0000000,139.55,139.63,138.34,139.51,6404260
2016-07-14T15:00:00.0000000,139.53,139.7,138.82,139.03,3591290
2016-07-14T16:00:00.0000000,139.03,139.91,138.81,139.79,6454580
2016-07-14T17:00:00.0000000,139.82,140.37,139.57,140.01,8489200
2016-07-14T18:00:00.0000000,140.05,140.65,139.88,139.94,6361930
2016-07-15T10:00:00.0000000,139.38,139.74,138.4,138.88,8795380
2016-07-15T11:00:00.0000000,138.85,139.07,137.25,137.88,12461380
2016-07-15T12:00:00.0000000,137.86,138.62,137.56,138.13,4714710
2016-07-15T13:00:00.0000000,138.17,138.46,137.75,138.36,2049370
2016-07-15T14:00:00.0000000,138.37,138.86,138.1,138.76,3454170
2016-07-15T15:00:00.0000000,138.76,139.45,138.51,139.39,4363700
2016-07-15T16:00:00.0000000,139.39,139.4,137.93,138.24,5005600
2016-07-15T17:00:00.0000000,138.19,138.64,137.81,138.07,5906990
2016-07-15T18:00:00.0000000,138.04,138.12,137.32,138.1,6467670
2016-07-18T10:00:00.0000000,138.38,139.9,137.9,139.42,8688610
2016-07-18T11:00:00.0000000,139.44,139.82,139,139.7,4794560
2016-07-18T12:00:00.0000000,139.7,139.79,138.63,138.86,4752360
2016-07-18T13:00:00.0000000,138.86,139.19,138.16,139,5768860
2016-07-18T14:00:00.0000000,139.01,139.48,138.22,139.34,4457690
2016-07-18T15:00:00.0000000,139.31,139.44,138.32,138.32,3576100
2016-07-18T16:00:00.0000000,138.32,139,138.25,138.89,4511000
2016-07-18T17:00:00.0000000,138.88,139.47,138.72,139.35,4274920
2016-07-18T18:00:00.0000000,139.37,139.85,139.37,139.8,5311330
2016-07-19T10:00:00.0000000,139.75,141.1,139.34,140.09,11911000
2016-07-19T11:00:00.0000000,140.09,140.23,139.39,139.93,5445360
2016-07-19T12:00:00.0000000,139.93,139.93,138.8,139.32,5576610
2016-07-19T13:00:00.0000000,139.27,140.07,139.16,139.52,3727120
